# ph	Lobs	err	L+BB	err	

55433.50	2.02e+43	2.13e+42	5.37e+43	7.82e+43
55436.50	2.39e+43	1.78e+42	5.49e+43	7.47e+43
55444.50	2.84e+43	1.52e+42	6.80e+43	8.16e+43
55447.50	2.47e+43	2.84e+42	6.45e+43	6.14e+43
55448.50	3.59e+43	6.88e+41	1.11e+44	1.00e+43
55450.50	3.50e+43	6.71e+41	1.10e+44	1.40e+43
55453.50	3.11e+43	1.78e+42	9.68e+43	6.17e+43
55457.50	3.01e+43	1.65e+42	9.76e+43	7.98e+43
55459.50	3.12e+43	1.07e+42	9.14e+43	1.45e+43
55460.50	2.78e+43	1.55e+42	9.50e+43	1.43e+44
55485.50	1.12e+43	7.24e+41	3.10e+43	2.68e+42


