mjd,i,i_err
56044.5,18.67,0.21000000000000002
56068.5,17.46013814534005,0.009999717241694272
56071.5,17.629417411352343,0.04216272476570584
56074.5,17.24,0.009999999999999998
56077.5,17.38,0.02
56080.5,17.17417047734658,0.05263002481284346
56083.5,17.315340812843903,0.022870339413041386
56086.5,17.133289143727644,0.049409114157036464
56089.5,17.12654592606307,0.05432509177419651
56098.5,17.07247531881919,0.04656451452063903
56104.5,17.07666813659811,0.06116065828197155
56107.5,17.045034538166007,0.0060355537224414954
56113.5,17.07531079955543,0.014999045731196554
56116.5,17.37,0.019999999999999997
56119.5,17.125310799555432,0.014999045731196462
56128.5,17.360887095719576,0.04640549858032562
56149.5,17.620286435217164,0.024471182169035488
56152.5,17.60586308813403,0.024995582688377104
56155.5,17.69,0.008320502943378523
56158.5,17.55,0.02
56161.5,17.836483854966474,0.04242574426917429
56164.5,17.47,0.02
56173.5,17.99,0.020000000000000004
56176.5,17.61,0.02
56182.5,18.05,0.04
56185.5,17.789170280629463,0.05495300273040505
56191.5,18.2,0.02
56197.5,18.42737974042088,0.01184641009907222
56200.5,18.56,0.11
56203.5,17.86,0.02
56215.5,18.23,0.030000000000000002
56236.5,18.67,0.060000000000000005
56245.5,18.66,0.13
56251.5,19.04,0.05000000000000001
