"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2018hti","2018/11/02","15.82","","03:40:53.750,03:40:53.76","+11:46:37.29,+11:46:37.2","SLSN-I","1081","1","",""
"SN2015bn","2014/12/23","15.69","","11:33:41.57,11:33:41.52","+00:43:32.2,+00:43:32.3,+00:43:33.46","Ic","893","38","",""
"PTF12dam","2012/04/10","15.66","","14:24:46.20,14:24:46.228","+46:13:48.3,+46:13:48.64","SLSN-I","517","37","",""
"SN2015L","2015/06/14","15.24","A220215-6139","22:02:15.45,22:02:15.36","-61:39:34.6,-61:39:34.56","TDE","473","11","",""
"SN2017egm","2017/05/23","13.16","NGC 3191","10:19:05.620,10:19:05.52,10:19:05.62","+46:27:14.08,+46:27:14.04,+46:27:14.0","SLSN-I","384","1","",""
"SN2008am","2008/01/10","16.61","A122836+1534","12:28:36.25,12:28:36.250","+15:34:49.1,+15:34:49.12,+15:34:49.11","II","383","7","",""
"SN2016eay","2016/05/16","15.2","","12:02:51.71,12:02:51.706,12:02:51.6","+44:15:27.4,+44:15:27.40,+44:15:27.36","SLSN-I","380","24","",""
"SN2017faf","2017/06/28","16.78","","17:34:39.980,17:34:39.98","+26:18:22.00,+26:18:21.9","II","334","2","",""
"SN2010gx","2010/03/13","17.62","A112547-0849","11:25:46.71,11:25:46.73","-08:49:41.4,-08:49:41.9","SLSN-I","260","14","",""
"PTF09cnd","2009/08/07","17.08","","16:12:08.94,16:12:08.96,16:12:08.839","+51:29:16.1,+51:29:16.0,+51:29:16.01","SLSN-I","220","17","",""
"SN2011kg","2011/12/21","18.39","A013945+2955","01:39:45.51,01:39:45.50,01:39:45.528","+29:55:27.0,+29:55:27.43","SLSN-I","212","12","",""
"SN2008es","2008/04/26","16.79","A115649+5427","11:56:49.13","+54:27:25.7","II P","203","14","",""
"MLS150612:112519+081418","2015/02/16","16.27","","11:25:19.23,11:25:19.22,11:25:19.24,11:25:19.2","+08:14:18.5,+08:14:18.6,+08:14:18.3,+08:14:18.348","SLSN","203","1","",""
"CSS121015:004244+132827","2012/10/15","17.83","","00:42:44.380,00:42:44.00,00:42:44","+13:28:26.20,+13:28:27.0,+13:28:27","SLSN-II","202","27","",""
"SN2016ezh","2016/08/12","14.79","","01:58:05.0,01:58:04.740,01:58:04.74","-00:52:22,-00:52:21.74,-00:52:21.7","TDE","199","2","",""
"SN2011ke","2011/04/06","17.52","A135057+2616","13:50:57.77,13:50:57.79,13:50:57.798","+26:16:42.8,+26:16:42.2,+26:16:42.44","SLSN-I","195","18","",""
"SN2010md","2010/05/15","17.86","A163747+0612","16:37:47.00,16:37:47.04,16:37:47.074","+06:12:32.3,+06:12:31.83","SLSN-I","180","20","",""
"LSQ15abl","2015/03/19","16.22","","09:40:29.50","-04:11:32.3","SLSN-II","144","7","",""
"SN2007bi","2007/04/06","17.53","A131920+0855","13:19:20.19,13:19:20.190,13:19:20.191","+08:55:44.3,+08:55:44.33,+08:55:44.29","SLSN-I","135","4","",""
"PTF12mxx","2012/11/08","19.02","","22:30:16.728","+27:58:22.01","SLSN-I","121","3","",""
"PTF09atu","2009/07/14","19.91","","16:30:24.55,16:30:24.553","+23:38:25.0,+23:38:25.43","SLSN-I","113","9","",""
"iPTF13ajg","2013/03/11","19.26","","16:39:03.95","+37:01:38.4","SLSN-I","111","12","",""
"PTF11hrq","2011/07/11","17.21","","00:51:47.22","-26:25:10.0","SLSN-I","102","5","",""
"SN2017bcc","2017/02/18","16.16","","11:31:52.990,11:31:53.04","+29:59:45.13,+29:59:45.24","SLSN-II","102","1","",""
"LSQ12dlf","2012/07/10","18.46","","01:50:29.80,01:50:29.78","-21:48:45.4","SLSN-I","97","19","",""
"PS1-14bj","2013/11/22","21.19","","10:02:08.433,10:12:08.433","+03:39:19.02","SLSN-I","92","10","",""
"PTF12gty","2012/06/08","19.45","","16:01:15.23","+21:23:17.4","SLSN-I","89","2","",""
"SN2013hy","2013/08/30","22.07","A024232-0121","02:42:32.82,02:42:32.83","-01:21:30.1","SLSN-I","78","1","",""
"SN2013dg","2013/05/17","19.11","A131841-0704","13:18:41.35,13:18:41.28","-07:04:43.0,-07:04:42.96","Super-Luminous Ic","77","7","",""
"LSQ14an","2014/01/02","18.6","","12:53:47.83","-29:31:27.2","SLSN-I","72","27","",""
"iPTF13ehe","2013/10/12","19.6","","06:53:21.50","+67:07:56.0","SLSN-R","71","6","",""
"SN2017jan","2017/12/18","19.2","","03:07:22.570","-64:23:01.00","SLSN-I","71","1","",""
