l,U,B,V,R,I
3000.0,0.0,0.0,0.0,0.0,0.0
3001.600320064013,0.0,0.0,0.0,0.0,0.0
3003.2006401280255,0.0,0.0,0.0,0.0,0.0
3004.8009601920385,0.0,0.0,0.0,0.0,0.0
3006.401280256051,0.0,0.0,0.0,0.0,0.0
3008.001600320064,0.0,0.0,0.0,0.0,0.0
3009.601920384077,0.0,0.0,0.0,0.0,0.0
3011.2022404480895,0.0,0.0,0.0,0.0,0.0
3012.8025605121024,0.0,0.0,0.0,0.0,0.0
3014.4028805761154,0.0,0.0,0.0,0.0,0.0
3016.003200640128,0.0,0.0,0.0,0.0,0.0
3017.603520704141,0.0,0.0,0.0,0.0,0.0
3019.2038407681534,0.0,0.0,0.0,0.0,0.0
3020.8041608321664,0.0,0.0,0.0,0.0,0.0
3022.4044808961794,0.0,0.0,0.0,0.0,0.0
3024.004800960192,0.0,0.0,0.0,0.0,0.0
3025.605121024205,0.0,0.0,0.0,0.0,0.0
3027.205441088218,0.0,0.0,0.0,0.0,0.0
3028.8057611522304,0.0,0.0,0.0,0.0,0.0
3030.4060812162434,0.0,0.0,0.0,0.0,0.0
3032.006401280256,0.0,0.0,0.0,0.0,0.0
3033.606721344269,0.0,0.0,0.0,0.0,0.0
3035.207041408282,0.0,0.0,0.0,0.0,0.0
3036.8073614722944,0.0,0.0,0.0,0.0,0.0
3038.4076815363073,0.0,0.0,0.0,0.0,0.0
3040.00800160032,0.0,0.0,0.0,0.0,0.0
3041.608321664333,0.0,0.0,0.0,0.0,0.0
3043.208641728346,0.0,0.0,0.0,0.0,0.0
3044.8089617923583,0.0,0.0,0.0,0.0,0.0
3046.4092818563713,0.0,0.0,0.0,0.0,0.0
3048.0096019203843,0.0,0.0,0.0,0.0,0.0
3049.609921984397,0.0,0.0,0.0,0.0,0.0
3051.21024204841,0.0,0.0,0.0,0.0,0.0
3052.8105621124223,0.0,0.0,0.0,0.0,0.0
3054.4108821764353,0.0,0.0,0.0,0.0,0.0
