mjd,T,R,fun,success,logL,sigma_logL
57051.5,12272.3673720732,32273259117590.297,0.025308545748063592,True,37.2262200716286,0.031089716558152524
57054.583333333336,12526.718916478792,32565478785020.668,0.024578490506460462,True,37.26968529781318,0.032158007058418064
57057.66666666666,12783.895620664765,32845860674216.01,0.02396430844437124,True,37.31243518917926,0.03329370743241478
57060.75,13021.305483999182,33149442408959.11,0.02367313520208327,True,37.35239159874382,0.034522901244085885
57063.833333333336,13212.269847413248,33517171369923.062,0.023840327866164204,True,37.387265492768876,0.035812882991893495
57066.91666666666,13333.651166288299,33984452479543.117,0.024575554314001775,False,37.41517794316397,0.037120181042956155
57070.0,13379.968612603858,34552316404906.312,0.02600200880627007,True,37.43559574701708,0.03848149843240766
57073.083333333336,13361.595153133012,35202570909374.62,0.0281524221189197,False,37.449403031575685,0.03991755525802457
57076.16666666666,13310.646016105498,35870981068684.22,0.03069205786877465,False,37.45910407771938,0.041321906828344634
57079.25,13270.317614935018,36461995093653.83,0.032775416730837455,True,37.468027158992875,0.042409706241103136
57082.333333333336,13272.238596031071,36909288853933.31,0.03335187733068617,True,37.478869109249,0.04279503655936992
57085.41666666666,13337.888272375436,37159932214175.734,0.031844396680919464,True,37.4933191591752,0.042284955054542946
57088.5,13466.462471793771,37215043960354.74,0.028651881770561983,True,37.51127220566335,0.04098302376496185
57091.583333333336,13634.33946095546,37129619029111.586,0.024974789221962675,False,37.53079842928242,0.039334725231717826
57094.66666666666,13803.241969600796,36984773473406.38,0.022063737049420166,False,37.548791363308595,0.03799187913615153
57097.75,13924.664526013748,36879053159518.75,0.020506761715530848,False,37.56151952081564,0.03733825294044133
57100.833333333336,13953.598902594258,36901762256282.75,0.020066311523119475,True,37.565660185456494,0.03710326890038086
57103.91666666666,13863.501053019607,37107502638452.586,0.020041078544890394,True,37.55923616539615,0.03655720311883485
57107.0,13648.86183672263,37520685813259.51,0.01975789664450952,True,37.541748318515715,0.03506888163201566
57110.083333333336,13321.673147807676,38143374458136.91,0.018870034425203668,True,37.51389435084739,0.03246122375400705
57113.16666666666,12903.503957859224,38967371604268.516,0.017420701052380035,False,37.47705389607664,0.029003598600972735
57116.25,12421.57273616533,39970373019281.72,0.01579907697354383,True,37.433003782093714,0.025276571537377047
57119.333333333336,11901.699604428586,41133331562453.484,0.014652543102451506,False,37.38364474336769,0.021980229196172815
57122.41666666666,11371.976616126329,42415761299221.91,0.014729621498880886,False,37.331219397074484,0.01971910287633933
57125.5,10860.437574765929,43755813477314.445,0.01647191894193258,False,37.278281851681776,0.018602713338651773
57128.583333333336,10392.53396637663,45068653187661.164,0.0196451491171208,False,37.2274560028306,0.018206861860006494
57131.66666666666,9988.332699810855,46255652549839.84,0.023034238689654762,False,37.181122655748986,0.01789158932951576
57134.75,9660.69269681525,47217635497018.79,0.024826931039609878,True,37.14106257324423,0.01717115729876135
57137.833333333336,9408.840514029327,47914521926113.734,0.023587082849476453,True,37.10789977905024,0.015799415096670835
57140.91666666666,9234.429760702584,48265816343258.4,0.01934983528945892,True,37.0817406736544,0.013757019047834015
57144.0,9117.417517173923,48342571720123.05,0.013709216905911993,False,37.06096790508083,0.011288680301598561
57147.083333333336,9035.186629725604,48235303824848.82,0.008926028238253524,True,37.043299580132036,0.008951392647471067
57150.16666666666,8959.835622059894,48077676662629.41,0.00644121507780476,True,37.025908145681754,0.007488467977452216
57153.25,8867.86890350226,47981164321862.734,0.006071442439595321,True,37.00623965403258,0.0071409413885357995
57156.333333333336,8743.853803399259,48027276337749.45,0.006509235616767451,True,36.982608499298806,0.007227102403727938
57159.41666666666,8584.628291246581,48246745608670.4,0.00651943991134307,True,36.95464306171907,0.007044581673118683
57162.5,8401.25751244615,48594173494917.07,0.005842423683659153,True,36.923366619265934,0.0064996272276035055
57165.583333333336,8211.016914042559,48992678993976.17,0.0050422754157585445,True,36.890671195368384,0.005915317399149181
57168.66666666666,8033.947699129688,49322195443013.39,0.00471121699626323,True,36.85862183261991,0.005644591755954493
57171.75,7883.7100652716945,49494499791881.09,0.004917069178655653,False,36.82885748779021,0.0057327500658633625
57174.833333333336,7767.261892305266,49453319624379.97,0.005284215628389878,False,36.80228372634114,0.005935356525560986
57177.91666666666,7685.531844853653,49177189759655.625,0.00542967948309547,False,36.779044152540436,0.0060214840357769965
57181.0,7632.187272729771,48711826936188.65,0.005295975076083529,True,36.758685941432375,0.005954299121018954
57184.083333333336,7605.589284124854,48047209569915.67,0.004920668113305089,True,36.74068884901316,0.0057443985705329294
57187.16666666666,7597.856673678818,47250215338601.51,0.004531020309307609,False,36.724393003618495,0.005513806816854748
57190.25,7605.232373329346,46353111355423.64,0.0042434675328562104,False,36.70942876635543,0.00533455794379198
57193.333333333336,7626.152853284274,45375037983859.305,0.004113058001398911,False,36.69567705849783,0.005248310280959031
57196.41666666666,7662.462466992174,44306757588659.23,0.00413173838308811,False,36.68323441154863,0.005255275648604837
57199.5,7709.363255337289,43206516136127.71,0.004434938412158693,True,36.67199356929496,0.005439910845356186
57202.583333333336,7767.191662055569,42073747699182.055,0.0049834295229327944,False,36.66189951654421,0.0057639572469223
57205.66666666666,7832.376110167336,40938124235928.0,0.0056990979076203645,True,36.65265104803248,0.006166154634850762
57208.75,7900.165973419704,39831127287319.695,0.006394634543421856,True,36.64381108976625,0.006540289110939574
57211.833333333336,7965.472721309364,38782339294520.85,0.00682910227614519,True,36.63493525420263,0.006773723914997267
57214.91666666666,8024.45938506987,37810652068140.5,0.006826545725393637,True,36.62571249966918,0.006791166972482192
57218.0,8074.849255636961,36928621123339.41,0.006381608560830644,True,36.616084910130404,0.006585375337542622
57221.083333333336,8117.977324685278,36127329091763.61,0.005673498005808292,True,36.606284078403796,0.006227417348300005
57224.16666666666,8156.487250530418,35398749889975.31,0.004973291366321776,True,36.59680952941634,0.00584753816590448
57227.25,8194.9838165077,34725874594272.4,0.004505584940781274,True,36.58831981855268,0.005583701019862795
57230.333333333336,8238.554537716707,34090847080412.29,0.004354303028426059,True,36.58150070161259,0.00551107143148586
57233.41666666666,8290.776693679345,33486264669114.61,0.004463209490160137,True,36.57693531494236,0.005608932798490813
57236.5,8353.824000414692,32909585882463.008,0.004710704764313095,True,36.57500715218209,0.005802868561511502
