mjd,T,R,fun,success
55534.5,29344.01628799543,18379589284430.19,0.029154857880300082,True
55537.6,27041.28684067777,21536897576890.625,0.027652657693780322,True
55540.7,24752.45947683169,25227577793056.902,0.025923379925239604,True
55543.8,22564.745491693466,29484430355199.83,0.023996276209145323,True
55546.9,20531.09630470073,34327631236579.74,0.02190904022369297,True
55550.0,18677.097104589753,39762853026993.836,0.019707891519944523,True
55553.1,17008.84625207636,45780709775024.266,0.017447650075558405,True
55556.2,15520.355960288474,52356468557581.91,0.015191398047632039,True
55559.3,14198.90336108862,59451243509141.61,0.013010993683449566,True
55562.4,13028.747891257466,67013990778904.4,0.010986606430016848,True
55565.5,11993.407721323865,74984714461724.7,0.009206176452476867,True
55568.6,11077.047220485887,83297628315132.38,0.007764589454622218,True
55571.7,10265.066889698915,91885852692945.81,0.006761685496569871,True
55574.8,9545.057149636017,100673515867527.92,0.006299730902473864,True
55577.9,8903.917075885278,109633156680843.31,0.006480515408115074,True
55581.0,8332.617812407798,118705995098649.03,0.007399481182163887,True
55584.1,7823.290781444011,127836511603557.0,0.009150436144532887,True
55587.2,7369.524092096292,136953052140037.5,0.011802461689472346,True
55590.3,6962.609561798796,146133517155962.9,0.015414193038428323,True
55593.4,6597.5051521521955,155385423232636.25,0.020019724274769748,True
55596.5,6282.881127173653,163835380614815.88,0.025649955393957785,True
55599.6,5985.826748891884,173398926616477.75,0.032229327314308304,True
55602.7,5722.803428812392,182851644889906.94,0.03975229654819694,True
55605.8,5492.7843253546835,191921354029703.7,0.0481592333889586,True
55608.9,5295.161120245416,200226540963523.72,0.057457401239736666,True
55612.0,5102.968525189046,210753421405849.12,0.06714629823474456,True
55615.1,4949.471219330112,219198395566908.3,0.07772868777059103,True
55618.2,4775.764057576499,234137586877157.78,0.08762050581288651,True
55621.3,4678.0835350193465,240011147996546.56,0.09934033114557411,True
55624.4,4522.296541655451,260349861534777.47,0.10842751386341189,True
55627.5,4448.925696858191,268352330449689.97,0.11944894754374394,True
