mjd,T,R,fun,success
55495.5,13347.597105517858,33727834781887.0,0.03289332977026213,True
55496.523255813954,13862.065514862852,33686715077082.926,0.032439901011399166,True
55497.54651162791,14391.260012050912,33455802002025.215,0.03203487012768424,True
55498.56976744186,14924.249554200298,33060673031958.965,0.03168206553213167,True
55499.593023255824,15446.261239454427,32535290874952.473,0.031384819172708814,True
55500.61627906976,15938.705682418702,31919254048636.508,0.031145931641089388,True
55501.63953488372,16379.483499025797,31255424485125.2,0.03096764680462057,True
55502.662790697665,16744.215148034855,30587111321526.414,0.030851639367711,True
55503.68604651162,17008.235304097754,29955747437790.934,0.03079901557808904,True
55504.70930232559,17149.449119824985,29398813177114.42,0.030810322790908076,True
55505.732558139534,17151.44816305555,28948541696957.473,0.030885558967834834,True
55506.75581395349,17006.308572509824,28631229075388.582,0.031024169876445785,True
55507.77906976744,16716.196071107453,28467324394442.652,0.031225021407186256,True
55508.8023255814,16293.36077097038,28471987978654.86,0.03148633823091369,True
55509.82558139535,15758.296466273277,28656282703046.875,0.03180560804938317,True
55510.848837209305,15136.861517566518,29028227974606.797,0.03217946156899165,True
55511.87209302326,14456.808668894939,29594152117759.348,0.03260354959599004,True
55512.895348837206,13744.82588052066,30359535146225.836,0.033072447048927534,True
55513.91860465116,13024.250405963438,31329972752395.164,0.033579616691288755,True
55514.941860465115,12314.032358079432,32511182450708.223,0.03411746142602293,True
55515.96511627907,11628.378630707748,33909100080202.2,0.03467748344694818,True
55516.988372093016,10977.151085718135,35529153641704.49,0.03525055320859042,True
55518.011627906984,10366.484415220413,37375533463593.02,0.03582734828049317,True
55519.03488372093,9799.6003056285,39449789274894.36,0.036398487328496335,True
55520.05813953489,9277.55469395924,41749236450043.445,0.03695543135343741,True
55521.08139534884,8799.856788262461,44265272500800.24,0.03749028526929823,True
55522.1046511628,8365.091998534192,46980539990421.37,0.03799756710585153,True
55523.12790697674,7971.158798671992,49867934302684.79,0.03847252865319386,True
55524.151162790695,7615.650369650883,52888066777157.97,0.03891259476927641,True
55525.17441860465,7296.0451778669785,55987746816917.266,0.0393170752660198,True
55526.1976744186,7009.918196610435,59097690574047.125,0.039690960532098786,False
55527.22093023256,6754.528717139216,62142282687670.57,0.040025294086123514,True
55528.24418604651,6530.413685178851,64965061352777.13,0.04033611129953566,True
55529.267441860466,6327.722035169232,67639490397222.055,0.04062353535370951,True
55530.29069767441,6152.102117231453,69887650441055.08,0.04089429201254556,True
55531.31395348837,5999.225999735513,71665770320391.56,0.04115404782252725,True
55532.337209302335,5869.698769461906,72813247751173.64,0.041409205429689275,True
55533.36046511628,5755.352097290652,73467501332410.22,0.04166392081654675,True
55534.38372093024,5661.219877757568,73382547646006.48,0.041925123795508105,True
55535.406976744176,5582.654119965094,72653022394081.27,0.04219690987920793,True
55536.43023255814,5515.764171149172,71390520008247.08,0.042488787587015464,True
55537.45348837209,5478.119319892707,69000302724333.95,0.04278181702819524,True
55538.476744186046,5447.356346909729,66299112742615.92,0.043099363532674954,True
55539.5,5423.186784175447,63347162889000.516,0.04343824709448245,True
