mjd,T,R,fun,success
55433.5,9320.24923932316,61910995143114.05,0.027889019584787275,True
55436.75,9644.988163497466,63064377637680.65,0.0303265774014005,True
55440.0,9974.679140548744,63769254409175.14,0.03273953991341798,True
55443.25,10263.749338943504,64317956132453.73,0.03477742658281551,True
55446.5,10455.490439470575,65060329482174.32,0.03605219350347469,True
55449.75,10496.754238797397,66330360908043.34,0.036223139871042295,True
55453.0,10358.22439403095,68376015168916.9,0.03508946972644701,True
55456.25,10048.371830126436,71306659868555.1,0.03265507990732149,True
55459.5,9610.427517826583,75066115305894.78,0.02913965819349241,True
55462.75,9105.030064697261,79425348667483.83,0.02493274080910117,True
55466.0,8590.43565534573,83997828905756.84,0.020503366720799235,True
55469.25,8111.091779963337,88269705686659.81,0.016300543271142883,True
55472.5,7695.202370421609,91659189491047.61,0.012670024384701268,True
55475.75,7357.6514465393475,93607376368815.05,0.009810514134253628,True
55479.0,7104.190887113018,93694953556699.17,0.007776706390804633,True
55482.25,6934.846704685849,91754827403384.95,0.006521817551800861,True
55485.5,6845.965963233969,87936617259233.73,0.005955512613856338,True
