mjd,T,R,fun,success
56286.5,14637.541058955958,41725210110996.81,0.012309487285624187,True
56289.75,14574.880072613163,43668461443851.336,0.011821758938945196,True
56293.0,14420.769814273195,45897238060962.54,0.011263025978958063,True
56296.25,14178.43089382999,48436063211184.64,0.010638604504086324,True
56299.5,13857.41997025518,51298040468968.83,0.009958000822095076,True
56302.75,13472.266787699098,54481276967008.71,0.009234469690770082,True
56306.0,13040.492149073263,57965316011606.35,0.008484213938506553,True
56309.25,12580.44967146959,61708203002203.2,0.007725308619891765,True
56312.5,12109.459590358165,65644601692486.86,0.0069764677684922205,True
56315.75,11642.023602109968,69691374577711.42,0.006261866860776885,True
56319.0,11191.721718040888,73719370180151.17,0.005585240829988647,True
56322.25,10767.149649118843,77599592129109.92,0.004966660947217138,True
56325.5,10374.799778653858,81181227193054.5,0.004416991279301877,True
56328.75,10018.926160314277,84305404468254.4,0.003943473152469482,False
56332.0,9701.880855894988,86817977454109.86,0.0035495012630660746,True
56335.25,9424.582241862152,88582723465703.38,0.003236104700438773,True
56338.5,9187.761378851812,89476965278359.89,0.003003378845715486,True
56341.75,8989.150605930556,89467275750337.45,0.0028520632843672122,True
56345.0,8829.044219552787,88504256252812.14,0.002777451670711584,False
56348.25,8705.569753508023,86631205294146.47,0.002780026330885026,False
56351.5,8616.067013253476,83953925358982.03,0.002859937122738707,True
