mjd,T,R,fun,success
55267.5,17297.9878619872,49422828485688.5,0.011588583045716984,True
55270.614285714284,16590.981698087304,52521805600320.17,0.010063651835805747,True
55273.72857142856,15766.49772225781,56120898057766.04,0.008333007159292936,True
55276.84285714286,14869.513201245181,60229079674653.34,0.006633487454867093,False
55279.957142857136,13940.857367137105,64849098957268.91,0.005270961215112601,True
55283.071428571435,13013.992756662314,69978361422176.51,0.004620996318097446,True
55286.18571428571,12113.997012843718,75608866040796.58,0.005128400190861175,True
55289.3,11257.698721786895,81730370280056.44,0.00730556002009454,True
55292.41428571429,10455.116494328047,88330795022302.45,0.011729049344812134,True
55295.528571428564,9711.031610866563,95397420908750.02,0.019034246067254193,True
55298.642857142855,9026.534118253883,102917197396109.05,0.0299049190446743,True
55301.75714285715,8399.177802170347,110906146273673.75,0.04506238636774463,True
55304.87142857144,7829.383947976786,119264621413225.72,0.06524539045627926,True
55307.985714285714,7309.497193156786,128095747876377.7,0.0911927062148076,True
55311.1,6839.36210299624,137241660555511.83,0.12361853897796507,True
55314.214285714275,6411.417657283806,146836120815938.53,0.1631902461887907,True
55317.328571428574,6023.969853723406,156751110439928.06,0.21051132370248632,True
55320.44285714286,5682.29597077172,166174148901579.53,0.26616646912332487,True
55323.55714285714,5359.557761633359,176979603096246.94,0.330398390689749,True
55326.67142857143,5066.065411405999,188225062503090.1,0.40362455984974194,True
55329.785714285725,4827.707283390577,195916471463945.72,0.48699532532828765,True
55332.9,4586.787259643519,207028355120177.8,0.5788321030701806,True
55336.014285714286,4363.638885594706,219132314241309.7,0.6797716781564603,True
55339.12857142856,4159.086494389621,231941184881590.1,0.7901319711804751,True
55342.24285714285,3999.067635162499,238745412486270.2,0.9120979091173256,True
55345.357142857145,3852.9612910127507,245130374538297.5,1.0452932988885308,True
55348.471428571436,3740.4499294062475,245130062347792.16,1.1982451803385343,True
55351.58571428571,3635.5241958293673,245129832821333.38,1.3672450371230753,True
55354.7,3538.0957659794535,245129670643562.3,1.5505174168129747,True
55357.81428571429,3448.125291183017,245129663799210.0,1.7462643090558385,True
55360.928571428565,3365.2815980451282,245129700126508.7,1.9526194237434151,True
55364.042857142864,3289.478066641547,245129771739231.03,2.167577755140092,True
55367.15714285714,3220.440747622586,245129776357416.8,2.388918632264885,True
55370.27142857144,3158.189850876307,245129808030431.1,2.6141137236020286,True
55373.38571428572,3102.4592850379777,245129864535716.28,2.840267231688669,True
55376.5,3053.092390126001,245129946067305.72,3.064088320704479,True
