mjd,T,R,fun,success
55927.5,12285.318785255164,49045099576203.19,0.07247812508498806,True
55930.5625,12542.305255062667,51007273802450.766,0.0732099573384165,True
55933.625,12711.629378799133,52864181994340.086,0.07349065118356675,True
55936.6875,12775.020348416529,54648703557707.91,0.0732513018044747,True
55939.75,12721.096083561066,56397431583660.57,0.07243939660513089,True
55942.8125,12547.896987244294,58144025996936.55,0.07102388125309557,True
55945.875,12263.568912946866,59914397446990.72,0.06899916586473545,True
55948.9375,11885.050041121345,61723722260547.3,0.06638755336845166,True
55952.0,11435.11834214947,63575840958793.16,0.06323965206311889,True
55955.0625,10938.738073343331,65464800752501.984,0.05963250089339689,True
55958.125,10419.836785567844,67376877136965.414,0.05566529610956163,True
55961.1875,9899.060464509761,69292739207847.04,0.051453572280126425,True
55964.25,9392.646700329127,71189530159162.27,0.047121006435398884,True
55967.3125,8912.308136456233,73041790389247.47,0.04279193167869261,True
55970.375,8465.782475637343,74820993955835.92,0.038581846061475494,True
55973.4375,8057.482764037136,76496711751289.83,0.03459272186709983,True
55976.5,7689.370167948015,78036004506158.4,0.030906500862117933,True
55979.5625,7361.658594005371,79404022505408.31,0.027582508815373698,True
55982.625,7073.395894387786,80565038676567.86,0.02465674121682034,True
55985.6875,6822.8581354707885,81484977155343.47,0.02213949147260428,False
55988.75,6608.0180971305535,82130698547838.62,0.02003687282483506,True
55991.8125,6425.405359582505,82506852412266.25,0.01831797190131238,True
55994.875,6276.038215428042,82501293558277.72,0.0169559993615154,True
55997.9375,6153.587200586888,82214421381963.8,0.015915348966823728,True
56001.0,6057.419187396763,81600407229393.77,0.015158244051425072,True
56004.0625,5984.907654407815,80681899659640.03,0.014648229930095884,True
56007.125,5934.305053795396,79466590550744.72,0.014352039076998023,True
56010.1875,5901.440479396267,78046291506893.45,0.014240117857289744,True
56013.25,5885.782539926318,76407142129714.2,0.014286963965494417,True
56016.3125,5885.317539034664,74585662743448.14,0.014469952089043045,True
56019.375,5894.788344732033,72713243718904.86,0.014767837237515007,True
56022.4375,5914.677310490933,70750714606770.08,0.01516089753258651,True
56025.5,5935.683467317929,68926956942433.31,0.015633669841659113,True
56028.5625,5973.4400205711645,66799655493268.17,0.016151334682515735,True
56031.625,6007.832320882525,64876868850625.125,0.016707633333225527,True
56034.6875,6042.8517779964395,63022380477204.81,0.017277624041883082,True
56037.75,6076.765443332771,61253370487420.71,0.01784251310296328,True
56040.8125,6108.170151553688,59581433987236.234,0.018385857926273418,True
56043.875,6136.037541397387,58013747399697.48,0.018894449627868896,True
56046.9375,6159.744524808763,56554249765600.445,0.019358929517454777,True
56050.0,6179.079217665611,55204897776014.42,0.01977404029859877,True
56053.0625,6194.216418382761,53966995981172.59,0.02013848264703482,True
56056.125,6205.674039728363,52842364350670.78,0.020454412643476447,True
56059.1875,6214.2435481630355,51834530256304.3,0.020726664228093356,True
56062.25,6220.915992301767,50949649587971.67,0.02096180748765472,True
56065.3125,6228.010067326897,50175907147378.71,0.021167318823379376,True
56068.375,6233.044718908576,49591469713835.26,0.02134983675024889,True
56071.4375,6241.014444097891,49146363872660.51,0.0215159661822297,True
56074.5,6251.048862355724,48898022759301.86,0.021669999119297442,True
