mjd,T,R,fun,success
57525.5,16508.894667243556,37641910177078.85,0.03319378543589633,True
57528.681818181816,16614.080714534077,40507765320318.36,0.03274062125871903,True
57531.86363636363,16600.854556686834,43473800637346.93,0.032280919085842415,True
57535.045454545456,16454.326324876303,46546177333118.62,0.03178766678824439,True
57538.22727272727,16168.537085906042,49733290267075.54,0.03123921524001819,True
57541.40909090909,15748.421049704759,53042039594460.33,0.030622088877190697,True
57544.59090909091,15209.801552046622,56473870277864.75,0.02993329051596022,False
57547.77272727273,14577.210785175903,60021797119287.93,0.02918188342622687,True
57550.954545454544,13880.175573524257,63669129579477.93,0.028389439766430307,True
57554.13636363637,13149.139150213376,67389725840529.805,0.027589245010365075,True
57557.31818181818,12411.966396392669,71149928697141.81,0.026824134995930428,False
57560.5,11691.729207872113,74911167418859.78,0.026143044562645514,True
57563.681818181816,11005.80221550292,78633437234075.98,0.025608097126135834,False
57566.86363636363,10366.045192803434,82275464268917.47,0.025241606517368436,False
57570.045454545456,9779.545961134329,85800478071916.72,0.025095236510721906,True
57573.22727272727,9249.650717723567,89176029560911.86,0.025193063376839162,False
57576.40909090909,8776.90025549973,92377954819348.89,0.02554045640356715,False
57579.59090909091,8360.702986899803,95378726360055.6,0.026131079137079037,False
57582.77272727273,7998.194108803138,98180516066876.92,0.026925539650210828,True
57585.954545454544,7686.667287427389,100785953192637.0,0.02787538652814521,True
57589.13636363637,7422.995417752809,103215182076827.81,0.028911236322251642,True
57592.31818181818,7203.726939093999,105517274175237.39,0.029967165674458597,True
57595.5,7026.430731458564,107730684807654.1,0.030961309754500364,True
