mjd,T,R,fun,success
56362.5,11546.417452539941,76723670582262.36,0.21122250659868436,False
56365.6,11201.816166090457,85763413756890.98,0.14252947277911424,False
56368.7,9856.275047345383,114493615792112.17,0.054393712518954584,True
56371.8,10051.964850695847,116901422768126.48,0.0541100971942173,True
56374.9,10240.883843930787,119356218747689.64,0.053824705290548135,True
56378.0,10415.494294722746,121908590474071.73,0.053508674447148616,True
56381.1,10567.239275743672,124623862388914.94,0.05313094875854184,True
56384.2,10687.31202361531,127574794237170.39,0.05266795525867559,True
56387.3,10767.65939105844,130832786221512.61,0.05211208526405385,True
56390.4,10799.762064516042,134506441977551.64,0.05146904398018216,True
56393.5,10783.79572117725,138550099173915.62,0.05073801200370237,True
56396.6,10709.267889142244,143192616434956.03,0.0498889142255973,True
56399.7,10574.593411102225,148527891801156.16,0.048865221054069076,True
56402.8,10381.13865244022,154662142279676.2,0.047647362131300386,True
56405.9,10139.917106551386,161549045677245.7,0.04635873390449385,True
56409.0,9872.83805821777,168868649801917.84,0.04533063509868409,True
56412.1,9606.250770014945,176046916207524.38,0.0450467288530028,True
56415.2,9358.626779322552,182519803237224.97,0.04597617208963025,True
56418.3,9129.872080770236,188153832890026.72,0.048309251352181455,True
56421.4,8900.254213450386,193508332600051.5,0.05159364565204995,True
56424.5,8640.499723103325,199733471068015.0,0.05456252784810771,True
56427.6,8335.99381725315,207754893780214.5,0.0556425055625428,False
56430.7,7985.888176162467,218409664256771.56,0.05405595735890095,True
56433.8,7622.204989264828,230941953276373.94,0.05034569176963685,True
56436.9,7264.4463210446165,245097204989005.9,0.04600675302642707,True
56440.0,6951.347750153543,258241931127544.66,0.04244641899055282,True
56443.1,6693.158324334835,268903969413284.28,0.040352643261495756,True
56446.2,6525.272023387726,272015003805536.28,0.04006076714107984,True
56449.3,6343.067028221429,278755779879557.8,0.04032679334488146,True
56452.4,6240.001939472124,277446558398682.94,0.04180795220153508,True
56455.5,6167.260636884916,273510472883398.28,0.043908054649327795,True
56458.6,6133.920584016124,265628196555757.22,0.04628230531434592,True
56461.7,6116.31522609204,256885492852063.62,0.04861015255332466,True
56464.8,6109.505056135732,247962655280424.72,0.05050725058944587,True
56467.9,6102.529396128359,240228631815362.8,0.05177302594117854,True
56471.0,6135.23744391318,229295428171997.84,0.052145700057695775,True
56474.1,6121.775234099718,224924136921793.16,0.05261364172082578,True
56477.2,6188.601398146173,213698268847005.53,0.051893445769674196,True
56480.3,6271.623000201382,203120106742948.66,0.05157665882163574,True
56483.4,6353.8207809698,194836857975627.12,0.05154836832469066,True
56486.5,6441.231440157273,188140157825135.47,0.05165469536099829,True
