,Name,z
0,SN2018hti,0.0612
1,SN2015bn,0.1136
2,PTF12dam,0.1073
3,SN2015L,0.2326
4,SN2017egm,0.030721
5,SN2008am,0.2338
6,SN2016eay,0.1013
7,SN2017faf,0.029
8,SN2010gx,0.2297
9,PTF09cnd,0.2584
10,SN2011kg,0.1924
11,SN2008es,0.202
12,MLS150612:112519+081418,0.101
13,CSS121015:004244+132827,0.2868
14,SN2016ezh,0.08
15,SN2011ke,0.1428
16,SN2010md,0.0987
17,LSQ15abl,0.087
18,SN2007bi,0.1279
19,PTF12mxx,0.3296
20,PTF09atu,0.5015
21,iPTF13ajg,0.74
22,SN2017bcc,0.133
23,LSQ12dlf,0.255
24,PS1-14bj,0.5215
25,PTF12gty,0.1768
26,SN2013hy,0.663
27,SN2013dg,0.265
28,LSQ14an,0.163
29,iPTF13ehe,0.3434
30,SN2006gy,0.01919
31,LSQ14mo,0.253
32,PS1-10bzj,0.65
33,PTF10aagc,0.2067
34,DES14X3taz,0.608
35,PTF10bfz,0.1701
36,SN2006oz,0.376
37,LSQ14bdq,0.345
38,SNLS-07D2bv,1.5
39,SSS120810:231802-560926,0.156
40,OGLE15sd,0.565
41,PTF12mkp,0.153
42,SNLS-06D4eu,1.588
43,SN2011kf,0.245
44,SN2010hy,0.1901
45,SN2012il,0.175
46,PTF10nmn,0.1237
47,DES16C2nm,1.998
48,SN2005ap,0.2832
49,SN2016ard,0.2025
50,SN2009jh,0.3499
51,PTF10uhf,0.2882
52,SN2016els,0.217
