Name,type,redshift,ra,dec,bandpasses
SN2018hti,"SLSN-I",0.0612,03:40:53.750,+11:46:37.29,"u, g, r, i, B, V"
SN2015bn,"SLSN-I",0.1136,11:33:41.57,+00:43:32.2,"r', U, B, V, R, I"
PTF12dam,"SLSN-R",0.1073,14:24:46.20,+46:13:48.3,"g, r, i, B"
SN2015L,"TDE",0.2326,22:02:15.45,-61:39:34.6,"U, B, V"
SN2017egm,"SLSN-I",0.030721,10:19:05.620,+46:27:14.08,"i, U, B, V"
SN2008am,"SLSN-II",0.2338,12:28:36.25,+15:34:49.1,"g', r', i', z', U"
SN2016eay,"SLSN-I",0.1013,12:02:51.71,+44:15:27.4,"r, i, U, B, V, R"
SN2017faf,"SLSN-I",0.029,17:34:39.980,+26:18:22.00,"i, z, B, V, R, I"
SN2010gx,"SLSN-I",0.2297,11:25:46.71,-08:49:41.4,"r, u', g', r', i', z'"
PTF09cnd,"SLSN-I",0.2584,16:12:08.94,+51:29:16.1,"g, r, i, U, B, R"
SN2011kg,"SLSN-I",0.1924,01:39:45.51,+29:55:27.0,"g, r, i, z, B"
SN2008es,"SLSN-II",0.202,11:56:49.13,+54:27:25.7,"U, B, V, R, I"
SN2016ezh,"TDE",0.08,01:58:05.0,-00:52:22,"U, B, V"
SN2011ke,"SLSN-I",0.1428,13:50:57.77,+26:16:42.8,"u, g, r, i, z, V"
SN2010md,"SLSN-I",0.0987,16:37:47.00,+06:12:32.3,"g, r, i, z, B"
LSQ15abl,"SLSN-II",0.087,09:40:29.50,-04:11:32.3,"U, B, V"
SN2007bi,"SLSN-R",0.1279,13:19:20.19,+08:55:44.3,"B, V, R, I"
PTF12mxx,"SLSN-I",0.3296,22:30:16.728,+27:58:22.01,"u, g, r, i, z, B"
PTF09atu,"SLSN-I",0.5015,16:30:24.55,+23:38:25.0,"u, g, r, i, U, R"
iPTF13ajg,"SLSN-I",0.74,16:39:03.95,+37:01:38.4,"g, r, i, z, B, R"
SN2017bcc,"SLSN-II",0.133,11:31:52.990,+29:59:45.13,"g, r, i"
LSQ12dlf,"SLSN-I",0.255,01:50:29.80,-21:48:45.4,"U, B, V, R, I"
PS1-14bj,"SLSN-R",0.5215,10:02:08.433,+03:39:19.02,"g, r, i, z"
PTF12gty,"SLSN-I",0.1768,16:01:15.23,+21:23:17.4,"g, r, i"
SN2013hy,"SLSN-I",0.663,02:42:32.82,-01:21:30.1,"g, r, i, z"
SN2013dg,"SLSN-I",0.265,13:18:41.35,-07:04:43.0,"g, r, i, z"
LSQ14an,"SLSN-I",0.163,12:53:47.83,-29:31:27.2,"g, r, i, B, V, R"
iPTF13ehe,"SLSN-R",0.3434,06:53:21.50,+67:07:56.0,"g, r, i"
SN2006gy,"SLSN-II",0.01919,03:17:27.06,+41:24:19.5,"r', i', U, B, V, R"
LSQ14mo,"SLSN-I",0.253,10:22:41.53,-16:55:14.4,"u, g, r, i, U"
PS1-10bzj,"SLSN-I",0.65,03:31:39.826,-27:47:42.17,"g, r, i, z"
PTF10aagc,"SLSN-I",0.2067,09:39:56.923,+21:43:17.09,"g, r, i, U"
DES14X3taz,"SLSN-I",0.608,02:28:04.46,-04:05:12.7,"g, r, i, z"
PTF10bfz,"SLSN-I",0.1701,12:54:41.27,+15:24:17.0,"g, r, i, B"
SN2006oz,"SLSN-I",0.376,22:08:53.56,+00:53:50.4,"u', g', r', i', z'"
LSQ14bdq,"SLSN-I",0.345,10:01:41.60,-12:22:13.4,"g, r, i, z"
SNLS-07D2bv,"SLSN-I",1.5,10:00:06.63,+02:38:35.8,"g, r, i, z"
PTF12mkp,"SLSN-II",0.153,08:28:35.092,+65:10:55.60,"U, B, V"
SNLS-06D4eu,"SLSN-I",1.588,22:15:54.29,-18:10:45.6,"g, r, i, z"
SN2011kf,"SLSN-I",0.245,14:36:57.53,+16:30:56.6,"g, r, i, z"
SN2012il,"SLSN-I",0.175,09:46:12.91,+19:50:28.7,"g, r, i, z"
PTF10nmn,"SLSN-R",0.1237,15:50:02.809,-07:24:42.38,"g, r, i, B"
DES16C2nm,"SLSN-I",1.998,03:40:14.83,-29:05:53.5,"g, r, i, z"
SN2005ap,"SLSN-I",0.2832,13:01:14.84,+27:43:31.4,"B, V, R, I"
PTF10uhf,"SLSN-I",0.2882,16:52:46.696,+47:36:21.76,"g, r, i"
